name,address,longitude,latitude,type
TWENTYSTAR INC.,5630 W 38TH AVE UNIT A,-105.0574173,39.76953435, 
NEREL MOBILE LLC,7085 W 38TH AVE ,-105.0760508,39.76961116, 
CASMANS AUTOMOTIVE,5208 W 38TH AVE ,-105.053671,39.7690343,Auto
APPLE MOTORS,5955 W 38TH AVE ,-105.0618605,39.77011374,Auto
DELUXE MOTOR COMPANY LLC,10470 W 38TH AVE ,-105.115392,39.76905722,Auto
"Big O Tires - WENCO IND., INC.",3805 WADSWORTH BLVD ,-105.0818849,39.76962105,Auto
PRIMERA AUTO LLC.,6695 W 38TH AVE ,-105.0708749,39.76957868,Auto
MEEKER AUTO SALES,6795 W 38TH AVE ,-105.071757,39.7696066,Auto
QUALITY AUTO CARE & TIRES CENTER,6915 W 38TH AVE ,-105.0737096,39.76967134,Auto
DAVE'S AUTOMOTIVE SPECIALIST INC.,7050 W 38TH AVE ,-105.0755816,39.7689616,Auto
CALVARY TEMPLE CHRISTIAN CHURCH,7390 W 38TH AVE ,-105.0789106,39.76907238,Church
WHEAT RIDGE UNITED METHODIST CHURCH,7530 W 38TH AVE ,-105.0801985,39.76846205,Church
WHEAT RIDGE LUTHERAN CHURCH,8600 W 38TH AVE ,-105.0934697,39.76870354,Church
WHEAT RIDGE PRESBYTERIAN CHURCH,9180 W 38TH AVE ,-105.0998761,39.76879687,Church
"BARDO COFFEEHOUSE - CATEGORY 99, INC",6150 W 38TH AVE ,-105.0640937,39.76912277,Coffee
THE SUGAR CUBE LLC,4313 WADSWORTH BLVD ,-105.0817672,39.77505067,Coffee
SILVER BULLET SHOOTING RANGE,5901 W 38TH AVE ,-105.0619165,39.76968844,Entertainment
WHEAT RIDGE LANES  INC.,6595 W 38TH AVE ,-105.0694503,39.76983428,Entertainment
KING SOOPERS #57  JFE FRANCHISING,5301 W 38TH AVE ,-105.0543109,39.77021992,Grocery
EXEMPLA LUTHERAN MED CENT FNDN,8300 W 38TH AVE ,-105.0904829,39.76847083,Hospital
D & M LIQUORS INC.,3910 WADSWORTH BLVD ,-105.0800794,39.77171197,Liquor
VILLAGE LIQUORS,5305 W 38TH AVE ,-105.0551,39.77031899,Liquor
WHEAT RIDGE LIQUOR,5808 W 38TH AVE ,-105.0610453,39.76907026,Liquor
WILMORE LIQUORS,7777 W 38TH AVE UNIT A108,-105.0833003,39.77030688,Liquor
WHEAT RIDGE CO-OP,7250 W 38TH AVE ,-105.0776945,39.76899116,Professional
HIGHLAND SOUTH  INC.,6340 W 38TH AVE APT 100,-105.0668196,39.76896812,Residential
"PIEROGIES FACTORY, LLC",3795 WADSWORTH BLVD ,-105.0818848,39.76903906,Restaurant
EL AGUASCALIENTES LLC,4105 WADSWORTH BLVD ,-105.0818666,39.7732886,Restaurant
AMICI'S PIZZERIA ITALIAN RESTAURANT INC,4300 WADSWORTH BLVD ,-105.0808106,39.7749759,Restaurant
LA FONDA MEXICAN RESTAURANT,5750 W 38TH AVE ,-105.0597758,39.76898591,Restaurant
BELFIORE ITALIAN SAUSAGE,5820 W 38TH AVE ,-105.0610453,39.76907026,Restaurant
CLANCYS IRISH PUB,7000 W 38TH AVE ,-105.0745386,39.76906215,Restaurant
FRAN'S CAFE,7057 W 38TH AVE ,-105.0757484,39.76960733,Restaurant
THE RIGHT COAST PIZZA CO.,7100 W 38TH AVE ,-105.0764377,39.76915136,Restaurant
THE CHALET INC.,7340 W 38TH AVE ,-105.078374,39.76898811,Restaurant
Vinnola's Italian Market - JVT GROUP INC,7750 W 38TH AVE ,-105.0835678,39.76898189,Restaurant
BREWERY RICKOLI,4335 WADSWORTH BLVD ,-105.0825369,39.77543774,Restaurant/Brewpub
